image_path,dataset,foreground_fraction,n_components,largest_component_fraction,sam_score
data\raw\riceleafbd\Bacterial Leaf Blight\310431608_945940750126887_1669829760117063812_n (1).jpg,riceleafbd,0.1968852282515073,1,0.1968852282515073,1.0114829540252686
data\raw\riceleafbd\Bacterial Leaf Blight\310431608_945940750126887_1669829760117063812_n.jpg,riceleafbd,0.1968852282515073,1,0.1968852282515073,1.0114829540252686
data\raw\riceleafbd\Bacterial Leaf Blight\310448020_682310889868060_4681830072878013283_n.jpg,riceleafbd,0.0014119000657462197,1,0.0014119000657462197,0.96483314037323
data\raw\riceleafbd\Bacterial Leaf Blight\310464016_1164415064492054_7219545344180247598_n.jpg,riceleafbd,0.9945703333744399,1,0.9945703333744399,1.0013149976730347
data\raw\riceleafbd\Bacterial Leaf Blight\310464616_851545286273413_4316228521924337719_n.jpg,riceleafbd,0.29233062763008316,1,0.29233062763008316,0.9931661486625671
data\raw\riceleafbd\Bacterial Leaf Blight\310469690_2436748673143286_2677182688110486122_n.jpg,riceleafbd,0.11203575102880658,1,0.11203575102880658,0.9968595504760742
data\raw\riceleafbd\Bacterial Leaf Blight\310487840_1291281128080362_8434485632634687911_n (1).jpg,riceleafbd,0.21469958587772864,1,0.21469958587772864,0.962395191192627
data\raw\riceleafbd\Bacterial Leaf Blight\310487840_1291281128080362_8434485632634687911_n.jpg,riceleafbd,0.21469958587772864,1,0.21469958587772864,0.962395191192627
data\raw\riceleafbd\Bacterial Leaf Blight\310488167_3283636195219120_6710492829285452029_n (1).jpg,riceleafbd,0.2180404454749024,1,0.2180404454749024,0.9470013380050659
data\raw\riceleafbd\Bacterial Leaf Blight\310488167_3283636195219120_6710492829285452029_n.jpg,riceleafbd,0.2180404454749024,1,0.2180404454749024,0.9470013380050659
data\raw\riceleafbd\Bacterial Leaf Blight\310543147_457255739652955_3429368353373351621_n.jpg,riceleafbd,0.3682451238220469,1,0.3682451238220469,1.0002851486206055
data\raw\riceleafbd\Bacterial Leaf Blight\310551734_1878080685878412_6304500458457326559_n.jpg,riceleafbd,0.09537571692427335,1,0.09537571692427335,0.9881963729858398
data\raw\riceleafbd\Bacterial Leaf Blight\310553566_2995830284047527_316969068202881531_n.jpg,riceleafbd,0.003703703703703704,1,0.003703703703703704,0.9396165609359741
data\raw\riceleafbd\Bacterial Leaf Blight\310559329_690131362347145_6658353345499358807_n (1).jpg,riceleafbd,0.5226318158436214,1,0.5226318158436214,0.954748272895813
data\raw\riceleafbd\Bacterial Leaf Blight\310559329_690131362347145_6658353345499358807_n.jpg,riceleafbd,0.5226318158436214,1,0.5226318158436214,0.954748272895813
data\raw\riceleafbd\Bacterial Leaf Blight\310559970_1213671542697262_8535261898640007138_n.jpg,riceleafbd,0.12219483568075118,1,0.12219483568075118,1.0128631591796875
data\raw\riceleafbd\Bacterial Leaf Blight\310572527_877480326964706_6234914540895705397_n.jpg,riceleafbd,0.9889809782608696,1,0.9889809782608696,0.9881913661956787
data\raw\riceleafbd\Bacterial Leaf Blight\310600434_509085124429604_8918712258124914972_n.jpg,riceleafbd,0.004643765903307888,1,0.004643765903307888,0.98291015625
data\raw\riceleafbd\Bacterial Leaf Blight\310614783_415402003974119_8541969504061395281_n.jpg,riceleafbd,0.13746331587354657,1,0.13746331587354657,0.9849802255630493
data\raw\riceleafbd\Bacterial Leaf Blight\310618161_749865946301961_566346251077039014_n (1).jpg,riceleafbd,0.11481894380445105,1,0.11481894380445105,0.969699501991272
data\raw\riceleafbd\Bacterial Leaf Blight\310640932_1155806921733557_1536466671256326621_n.jpg,riceleafbd,0.07231631169275511,1,0.07231631169275511,1.0022464990615845
data\raw\riceleafbd\Bacterial Leaf Blight\310644021_808218650294002_2396455372290571328_n (1).jpg,riceleafbd,0.08067498844197873,1,0.08067498844197873,0.9878666400909424
data\raw\riceleafbd\Bacterial Leaf Blight\310644021_808218650294002_2396455372290571328_n.jpg,riceleafbd,0.08067498844197873,1,0.08067498844197873,0.9878666400909424
