image_path,dataset,foreground_fraction,n_components,largest_component_fraction
data\raw\riceleafbd\Bacterial Leaf Blight\310398982_1743511802696734_8223560625839530939_n (1).jpg,riceleafbd,0.4344099479439089,1,0.4344099479439089
data\raw\riceleafbd\Bacterial Leaf Blight\310398982_1743511802696734_8223560625839530939_n.jpg,riceleafbd,0.4344099479439089,1,0.4344099479439089
data\raw\riceleafbd\Bacterial Leaf Blight\310399369_540025967958207_1299660027449913615_n.jpg,riceleafbd,0.20162726565630376,1,0.20162726565630376
data\raw\riceleafbd\Bacterial Leaf Blight\310399965_525487952452987_1097327620810210042_n.jpg,riceleafbd,0.16000426413255361,1,0.16000426413255361
data\raw\riceleafbd\Bacterial Leaf Blight\310406638_441712651261553_8445621227755511487_n.jpg,riceleafbd,0.29670426188599947,1,0.29670426188599947
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_496897225830087_237703061076680073_n.jpg,riceleafbd,0.17919918578095523,1,0.17919918578095523
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_822627472279758_1254045115159679670_n (1).jpg,riceleafbd,0.20027584876543209,1,0.20027584876543209
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_822627472279758_1254045115159679670_n.jpg,riceleafbd,0.20027584876543209,1,0.20027584876543209
data\raw\riceleafbd\Bacterial Leaf Blight\310415196_863381368363076_2835015746818951626_n.jpg,riceleafbd,0.09135053692746001,1,0.09135053692746001
data\raw\riceleafbd\Bacterial Leaf Blight\310421506_682212046823295_7959506462679908202_n.jpg,riceleafbd,0.46076901422241806,1,0.46076901422241806
data\raw\riceleafbd\Bacterial Leaf Blight\310425396_1159231851666855_6998416759931708991_n.jpg,riceleafbd,0.735065383365822,1,0.735065383365822
data\raw\riceleafbd\Bacterial Leaf Blight\310431608_945940750126887_1669829760117063812_n (1).jpg,riceleafbd,0.15984711455641687,1,0.15984711455641687
data\raw\riceleafbd\Bacterial Leaf Blight\310431608_945940750126887_1669829760117063812_n.jpg,riceleafbd,0.15984711455641687,1,0.15984711455641687
data\raw\riceleafbd\Bacterial Leaf Blight\310448020_682310889868060_4681830072878013283_n.jpg,riceleafbd,0.3616310541310541,1,0.3616310541310541
data\raw\riceleafbd\Bacterial Leaf Blight\310464016_1164415064492054_7219545344180247598_n.jpg,riceleafbd,0.7015748962058618,1,0.7015748962058618
data\raw\riceleafbd\Bacterial Leaf Blight\310464616_851545286273413_4316228521924337719_n.jpg,riceleafbd,0.19792584910552244,1,0.19792584910552244
data\raw\riceleafbd\Bacterial Leaf Blight\310469690_2436748673143286_2677182688110486122_n.jpg,riceleafbd,0.40197337962962965,1,0.40197337962962965
data\raw\riceleafbd\Bacterial Leaf Blight\310487840_1291281128080362_8434485632634687911_n (1).jpg,riceleafbd,0.45943707447181864,1,0.45943707447181864
data\raw\riceleafbd\Bacterial Leaf Blight\310487840_1291281128080362_8434485632634687911_n.jpg,riceleafbd,0.45943707447181864,1,0.45943707447181864
data\raw\riceleafbd\Bacterial Leaf Blight\310488167_3283636195219120_6710492829285452029_n (1).jpg,riceleafbd,0.4951325723797634,1,0.4951325723797634
data\raw\riceleafbd\Bacterial Leaf Blight\310488167_3283636195219120_6710492829285452029_n.jpg,riceleafbd,0.4951325723797634,1,0.4951325723797634
data\raw\riceleafbd\Bacterial Leaf Blight\310543147_457255739652955_3429368353373351621_n.jpg,riceleafbd,0.2211094674556213,1,0.2211094674556213
data\raw\riceleafbd\Bacterial Leaf Blight\310551734_1878080685878412_6304500458457326559_n.jpg,riceleafbd,0.6706785262953242,1,0.6706785262953242
data\raw\riceleafbd\Bacterial Leaf Blight\310553566_2995830284047527_316969068202881531_n.jpg,riceleafbd,0.2979213148891864,1,0.2979213148891864
data\raw\riceleafbd\Bacterial Leaf Blight\310559329_690131362347145_6658353345499358807_n (1).jpg,riceleafbd,0.45909014917695473,1,0.45909014917695473
data\raw\riceleafbd\Bacterial Leaf Blight\310559329_690131362347145_6658353345499358807_n.jpg,riceleafbd,0.45909014917695473,1,0.45909014917695473
data\raw\riceleafbd\Bacterial Leaf Blight\310559970_1213671542697262_8535261898640007138_n.jpg,riceleafbd,0.10657668231611894,1,0.10657668231611894
data\raw\riceleafbd\Bacterial Leaf Blight\310572527_877480326964706_6234914540895705397_n.jpg,riceleafbd,0.3237218196457327,1,0.3237218196457327
data\raw\riceleafbd\Bacterial Leaf Blight\310600434_509085124429604_8918712258124914972_n.jpg,riceleafbd,0.3266418272143463,1,0.3266418272143463
data\raw\riceleafbd\Bacterial Leaf Blight\310614783_415402003974119_8541969504061395281_n.jpg,riceleafbd,0.17945131691370408,1,0.17945131691370408
data\raw\riceleafbd\Bacterial Leaf Blight\310618161_749865946301961_566346251077039014_n (1).jpg,riceleafbd,0.26871877451587595,1,0.26871877451587595
data\raw\riceleafbd\Bacterial Leaf Blight\310640932_1155806921733557_1536466671256326621_n.jpg,riceleafbd,0.02758211444701052,1,0.02758211444701052
data\raw\riceleafbd\Bacterial Leaf Blight\310644021_808218650294002_2396455372290571328_n (1).jpg,riceleafbd,0.40637424872861766,1,0.40637424872861766
data\raw\riceleafbd\Bacterial Leaf Blight\310644021_808218650294002_2396455372290571328_n.jpg,riceleafbd,0.40637424872861766,1,0.40637424872861766
data\raw\riceleafbd\Bacterial Leaf Blight\310646560_492327916186305_3033082180337223512_n.jpg,riceleafbd,0.39771283436213994,1,0.39771283436213994
data\raw\riceleafbd\Bacterial Leaf Blight\310648809_1276299019880335_3987705849652034683_n.jpg,riceleafbd,0.1888214990138067,1,0.1888214990138067
data\raw\riceleafbd\Bacterial Leaf Blight\310670396_429378569378476_2079842306408630720_n (1).jpg,riceleafbd,0.3367163177670424,1,0.3367163177670424
data\raw\riceleafbd\Bacterial Leaf Blight\310670396_429378569378476_2079842306408630720_n.jpg,riceleafbd,0.3367163177670424,1,0.3367163177670424
data\raw\riceleafbd\Bacterial Leaf Blight\310671193_651962683328428_2392190712301200676_n.jpg,riceleafbd,0.3919174382716049,1,0.3919174382716049
data\raw\riceleafbd\Bacterial Leaf Blight\310674255_5604488246310964_3622111877303547733_n (1).jpg,riceleafbd,0.39890347151432776,1,0.39890347151432776
data\raw\riceleafbd\Bacterial Leaf Blight\310674255_5604488246310964_3622111877303547733_n.jpg,riceleafbd,0.39890347151432776,1,0.39890347151432776
data\raw\riceleafbd\Bacterial Leaf Blight\310719042_561579772636310_4450666158229352919_n (1).jpg,riceleafbd,0.12683425705991028,1,0.12683425705991028
data\raw\riceleafbd\Bacterial Leaf Blight\310719042_561579772636310_4450666158229352919_n.jpg,riceleafbd,0.12683425705991028,1,0.12683425705991028
data\raw\riceleafbd\Bacterial Leaf Blight\310732056_882974596404588_3333536589152760246_n.jpg,riceleafbd,0.23026186509462174,1,0.23026186509462174
data\raw\riceleafbd\Bacterial Leaf Blight\310773473_503921111704958_8483945229256166615_n.jpg,riceleafbd,0.026006441223832527,1,0.026006441223832527
data\raw\riceleafbd\Bacterial Leaf Blight\310776944_2271192576395292_6697039548256478756_n.jpg,riceleafbd,0.10148807624396367,1,0.10148807624396367
data\raw\riceleafbd\Bacterial Leaf Blight\310786053_1525316674560353_7049264138852649689_n.jpg,riceleafbd,0.014790345313601128,1,0.014790345313601128
data\raw\riceleafbd\Bacterial Leaf Blight\310793904_3186523691659403_5383376354122925282_n (1).jpg,riceleafbd,0.41653499830105334,1,0.41653499830105334
data\raw\riceleafbd\Bacterial Leaf Blight\310800911_1086292778725443_5354534637381279077_n.jpg,riceleafbd,0.10193769928869266,1,0.10193769928869266
data\raw\riceleafbd\Bacterial Leaf Blight\310806656_1155600812023590_376145728074683356_n (1).jpg,riceleafbd,0.3768081275720165,1,0.3768081275720165
data\raw\riceleafbd\Bacterial Leaf Blight\310806656_1155600812023590_376145728074683356_n.jpg,riceleafbd,0.3768081275720165,1,0.3768081275720165
data\raw\riceleafbd\Bacterial Leaf Blight\310807976_811879566593115_3526807662723242232_n.jpg,riceleafbd,0.060406972345174594,1,0.060406972345174594
data\raw\riceleafbd\Bacterial Leaf Blight\310816588_683444686539952_5848690206784441184_n (1).jpg,riceleafbd,0.5974228395061728,1,0.5974228395061728
data\raw\riceleafbd\Bacterial Leaf Blight\310816588_683444686539952_5848690206784441184_n.jpg,riceleafbd,0.5974228395061728,1,0.5974228395061728
data\raw\riceleafbd\Bacterial Leaf Blight\310824213_855040892191393_2275687619532873530_n.jpg,riceleafbd,0.09993002099370189,1,0.09993002099370189
data\raw\riceleafbd\Bacterial Leaf Blight\310828816_690325272284589_9142632844752404553_n.jpg,riceleafbd,0.41738208554518275,1,0.41738208554518275
data\raw\riceleafbd\Bacterial Leaf Blight\310828818_502045418606703_6319544330287836103_n.jpg,riceleafbd,0.32035403885480573,1,0.32035403885480573
data\raw\riceleafbd\Bacterial Leaf Blight\310828818_801077407864911_6593082883199240119_n.jpg,riceleafbd,0.17969921905203742,1,0.17969921905203742
data\raw\riceleafbd\Bacterial Leaf Blight\310839695_5693966490642265_4289994576722985164_n.jpg,riceleafbd,0.221754990531185,1,0.221754990531185
data\raw\riceleafbd\Bacterial Leaf Blight\310852417_3265459660435599_1909107167551415250_n.jpg,riceleafbd,0.6102094406479373,1,0.6102094406479373
data\raw\riceleafbd\Bacterial Leaf Blight\310853518_1159479021645279_1488304423547265573_n.jpg,riceleafbd,0.4881656293222683,1,0.4881656293222683
data\raw\riceleafbd\Bacterial Leaf Blight\310854028_435802855205808_7539885840348190946_n.jpg,riceleafbd,0.28591442033749725,1,0.28591442033749725
data\raw\riceleafbd\Bacterial Leaf Blight\310860211_1195211697757300_6481156105053704010_n.jpg,riceleafbd,0.5805285797608633,1,0.5805285797608633
data\raw\riceleafbd\Bacterial Leaf Blight\310899607_1814307275582501_3557432218080740998_n.jpg,riceleafbd,0.2224890422967346,1,0.2224890422967346
data\raw\riceleafbd\Bacterial Leaf Blight\310910786_497041972358154_3724793616908977131_n.jpg,riceleafbd,0.41012102305411746,1,0.41012102305411746
data\raw\riceleafbd\Bacterial Leaf Blight\310939144_520951129667148_9028737506706713083_n.jpg,riceleafbd,0.4172478832600161,1,0.4172478832600161
data\raw\riceleafbd\Bacterial Leaf Blight\310957993_531393051801796_7180472141142317761_n (1).jpg,riceleafbd,0.2024729938271605,1,0.2024729938271605
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n (1).jpg,riceleafbd,0.3212652730049637,1,0.3212652730049637
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n (2).jpg,riceleafbd,0.3212652730049637,1,0.3212652730049637
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n.jpg,riceleafbd,0.3212652730049637,1,0.3212652730049637
data\raw\riceleafbd\Bacterial Leaf Blight\310962820_3246774055651160_4343341207776874939_n.jpg,riceleafbd,0.1171499013806706,1,0.1171499013806706
data\raw\riceleafbd\Bacterial Leaf Blight\310973863_659588705790448_79279918050844787_n.jpg,riceleafbd,0.025515812616269236,1,0.025515812616269236
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n (1).jpg,riceleafbd,0.5019202045517835,1,0.5019202045517835
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n (2).jpg,riceleafbd,0.5019202045517835,1,0.5019202045517835
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n.jpg,riceleafbd,0.5019202045517835,1,0.5019202045517835
data\raw\riceleafbd\Bacterial Leaf Blight\310974927_491049266314337_8022843233606053562_n (1).jpg,riceleafbd,0.1028825785448302,1,0.1028825785448302
data\raw\riceleafbd\Bacterial Leaf Blight\310974927_491049266314337_8022843233606053562_n.jpg,riceleafbd,0.1028825785448302,1,0.1028825785448302
data\raw\riceleafbd\Bacterial Leaf Blight\310974928_1248138435919353_5243267489632069214_n.jpg,riceleafbd,0.4684650513285024,1,0.4684650513285024
data\raw\riceleafbd\Bacterial Leaf Blight\310986458_1422967054894315_2215338726885638584_n.jpg,riceleafbd,0.27544843049327355,1,0.27544843049327355
data\raw\riceleafbd\Bacterial Leaf Blight\310986470_827527985246219_5182457811937271935_n.jpg,riceleafbd,0.6685776901161516,1,0.6685776901161516
data\raw\riceleafbd\Bacterial Leaf Blight\310987026_3261889310716732_1126130837070880892_n.jpg,riceleafbd,0.2671032248979017,1,0.2671032248979017
data\raw\riceleafbd\Bacterial Leaf Blight\310989352_452640626791616_6700188349420952797_n.jpg,riceleafbd,0.1694433486741179,1,0.1694433486741179
data\raw\riceleafbd\Bacterial Leaf Blight\310989352_840479063762307_7205381542363703990_n.jpg,riceleafbd,0.23208431240908584,1,0.23208431240908584
data\raw\riceleafbd\Bacterial Leaf Blight\311006291_1283093285821857_4533140281566325969_n.jpg,riceleafbd,0.3401928201443157,1,0.3401928201443157
data\raw\riceleafbd\Bacterial Leaf Blight\311024973_1610391142753270_631261596346559709_n.jpg,riceleafbd,0.3525352733686067,1,0.3525352733686067
data\raw\riceleafbd\Bacterial Leaf Blight\311039233_647379983529818_3179780877140814952_n (1).jpg,riceleafbd,0.12357385492000876,1,0.12357385492000876
data\raw\riceleafbd\Bacterial Leaf Blight\311039233_647379983529818_3179780877140814952_n.jpg,riceleafbd,0.12357385492000876,1,0.12357385492000876
data\raw\riceleafbd\Bacterial Leaf Blight\311120128_827872505301907_5738768674890653677_n.jpg,riceleafbd,0.2318626826367652,1,0.2318626826367652
data\raw\riceleafbd\Bacterial Leaf Blight\311127088_3070769586478834_593695714921536743_n.jpg,riceleafbd,0.2929098785770944,1,0.2929098785770944
data\raw\riceleafbd\Bacterial Leaf Blight\311146649_1109249426367992_2020093549392706267_n.jpg,riceleafbd,0.019669642857142858,1,0.019669642857142858
data\raw\riceleafbd\Bacterial Leaf Blight\311150408_1181671116062665_4258769257725963297_n.jpg,riceleafbd,0.1739902476440938,1,0.1739902476440938
data\raw\riceleafbd\Bacterial Leaf Blight\311155755_667001898417987_5463193008355939533_n.jpg,riceleafbd,0.09892970927917165,1,0.09892970927917165
data\raw\riceleafbd\Bacterial Leaf Blight\311162571_5469448139777618_6986294095882567716_n (1).jpg,riceleafbd,0.3758809993425378,1,0.3758809993425378
data\raw\riceleafbd\Bacterial Leaf Blight\311162571_5469448139777618_6986294095882567716_n.jpg,riceleafbd,0.3758809993425378,1,0.3758809993425378
data\raw\riceleafbd\Bacterial Leaf Blight\311173558_1078001522862587_6821030613800710079_n.jpg,riceleafbd,0.13374302290412166,1,0.13374302290412166
data\raw\riceleafbd\Bacterial Leaf Blight\311176948_1173457476855843_8876369629576747934_n (1).jpg,riceleafbd,0.5886095420774352,1,0.5886095420774352
data\raw\riceleafbd\Bacterial Leaf Blight\311176948_1173457476855843_8876369629576747934_n.jpg,riceleafbd,0.5886095420774352,1,0.5886095420774352
data\raw\riceleafbd\Bacterial Leaf Blight\311215805_2327211210781483_4316745845371875045_n (1).jpg,riceleafbd,0.49297343043584774,1,0.49297343043584774
data\raw\riceleafbd\Bacterial Leaf Blight\311215805_2327211210781483_4316745845371875045_n.jpg,riceleafbd,0.49297343043584774,1,0.49297343043584774
data\raw\riceleafbd\Bacterial Leaf Blight\311228557_3354837764782169_1347128547830875125_n.jpg,riceleafbd,0.4558229235152312,1,0.4558229235152312
data\raw\riceleafbd\Bacterial Leaf Blight\311241844_867069184651555_26029076582327398_n.jpg,riceleafbd,0.07727481919789612,1,0.07727481919789612
