model,train_dataset,test_dataset,seed,augmentation,in_macro_f1,cross_macro_f1,gap,checkpoint_path
mobilenetv2_100,dhan_shomadhan,riceleafbd,7,strong,0.9177,0.557,0.3607,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed7.pth
efficientnet_b0,dhan_shomadhan,riceleafbd,7,strong,0.919,0.583,0.336,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed7.pth
resnet50,dhan_shomadhan,riceleafbd,7,strong,0.8742,0.524,0.3502,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed7.pth
mobilenetv2_100,riceleafbd,brri_rice_disease_pest,7,strong,0.9903,0.4562,0.5342,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed7.pth
efficientnet_b0,riceleafbd,brri_rice_disease_pest,7,strong,1.0,0.5226,0.4774,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed7.pth
resnet50,riceleafbd,brri_rice_disease_pest,7,strong,1.0,0.3981,0.6019,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__aug-strong__seed7.pth
mobilenetv2_100,brri_rice_disease_pest,riceleafbd,7,strong,0.8199,0.5895,0.2304,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed7.pth
efficientnet_b0,brri_rice_disease_pest,riceleafbd,7,strong,0.8174,0.5774,0.24,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed7.pth
resnet50,brri_rice_disease_pest,riceleafbd,7,strong,0.8534,0.7659,0.0875,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__aug-strong__seed7.pth
mobilenetv2_100,dhan_shomadhan,brri_rice_disease_pest,7,strong,0.6438,0.3335,0.3103,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed7.pth
efficientnet_b0,dhan_shomadhan,brri_rice_disease_pest,7,strong,0.6602,0.3569,0.3032,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed7.pth
resnet50,dhan_shomadhan,brri_rice_disease_pest,7,strong,0.6854,0.4532,0.2322,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__aug-strong__seed7.pth
mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,7,strong,0.7216,0.4373,0.2842,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed7.pth
efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,7,strong,0.7543,0.3431,0.4112,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__aug-strong__seed7.pth
