train_dataset,test_dataset,model,seed,augmentation,in_macro_f1,cross_macro_f1,gap
dhan_shomadhan,riceleafbd,resnet50,42,strong,0.8381,0.6169,0.2212
dhan_shomadhan,riceleafbd,efficientnet_b0,42,strong,0.840125,0.676032,0.164093
dhan_shomadhan,riceleafbd,efficientnet_b0,7,default,0.841615,0.624902,0.216712
brri_rice_disease_pest,dhan_shomadhan,resnet50,42,strong,0.842146,0.456003,0.386143
brri_rice_disease_pest,riceleafbd,resnet50,7,default,0.8508,0.4418,0.409
brri_rice_disease_pest,riceleafbd,resnet50,7,strong,0.8534,0.7659,0.0875
dhan_shomadhan,riceleafbd,mobilenetv2_100,7,default,0.8593,0.4885,0.3708
brri_rice_disease_pest,riceleafbd,resnet50,42,strong,0.859424,0.715873,0.143551
dhan_shomadhan,riceleafbd,resnet50,7,strong,0.8742,0.524,0.3502
brri_rice_disease_pest,riceleafbd,efficientnet_b0,2024,default,0.8943,0.6546,0.2397
dhan_shomadhan,riceleafbd,resnet50,2024,default,0.898041,0.599026,0.299015
riceleafbd,dhan_shomadhan,efficientnet_b0,2024,default,0.9065,0.4966,0.4098
riceleafbd,dhan_shomadhan,mobilenetv2_100,42,strong,0.912211,0.571852,0.340359
dhan_shomadhan,riceleafbd,resnet50,7,default,0.917742,0.605754,0.311988
dhan_shomadhan,riceleafbd,efficientnet_b0,2024,default,0.917742,0.636675,0.281067
dhan_shomadhan,riceleafbd,mobilenetv2_100,7,strong,0.917742,0.557003,0.360738
dhan_shomadhan,riceleafbd,efficientnet_b0,7,strong,0.919048,0.583023,0.336025
riceleafbd,dhan_shomadhan,mobilenetv2_100,2024,default,0.929642,0.376823,0.552819
riceleafbd,dhan_shomadhan,mobilenetv2_100,7,default,0.9301,0.6357,0.2943
riceleafbd,dhan_shomadhan,mobilenetv2_100,7,strong,0.9373,0.6062,0.3311
riceleafbd,dhan_shomadhan,resnet50,2024,default,0.9453,0.4491,0.4962
riceleafbd,dhan_shomadhan,efficientnet_b0,7,default,0.9453,0.4093,0.536
riceleafbd,dhan_shomadhan,resnet50,7,default,0.953235,0.469773,0.483462
riceleafbd,dhan_shomadhan,resnet50,7,strong,0.953235,0.575,0.378235
riceleafbd,dhan_shomadhan,efficientnet_b0,7,strong,0.953734,0.455128,0.498606
dhan_shomadhan,riceleafbd,mobilenetv2_100,42,strong,0.960031,0.573718,0.386313
riceleafbd,dhan_shomadhan,resnet50,42,strong,0.960912,0.57444,0.386472
riceleafbd,dhan_shomadhan,mobilenetv2_100,2024,strong,0.9686,0.4436,0.525
riceleafbd,dhan_shomadhan,efficientnet_b0,42,strong,0.968823,0.420455,0.548369
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,42,strong,0.971,0.5039,0.467
riceleafbd,brri_rice_disease_pest,resnet50,2024,default,0.9808,0.5344,0.4464
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,7,default,0.9808,0.3059,0.6748
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,7,strong,0.990322,0.456153,0.534168
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,2024,default,0.990322,0.220859,0.769463
riceleafbd,brri_rice_disease_pest,resnet50,7,default,0.990322,0.589303,0.401018
riceleafbd,brri_rice_disease_pest,efficientnet_b0,42,strong,0.990322,0.451799,0.538523
riceleafbd,brri_rice_disease_pest,resnet50,42,strong,1.0,0.7188,0.2812
riceleafbd,brri_rice_disease_pest,efficientnet_b0,7,default,1.0,0.4149,0.5851
riceleafbd,brri_rice_disease_pest,resnet50,7,strong,1.0,0.3981,0.6019
riceleafbd,brri_rice_disease_pest,efficientnet_b0,2024,default,1.0,0.346,0.654
riceleafbd,brri_rice_disease_pest,efficientnet_b0,7,strong,1.0,0.5226,0.4774
