run_id,experiment_type,model,train_datasets,eval_dataset,classes,split_seed,train_seed,augmentation,status,checkpoint_path,predictions_path,started_at,completed_at
resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024__eval-brri_rice_disease_pest__aug-default,transfer_baseline,resnet50,dhan_shomadhan,brri_rice_disease_pest,rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed2024.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__eval-brri_rice_disease_pest__seed2024.csv,2026-07-21T16:48:30.934658+00:00,2026-07-21T17:03:17.948098+00:00
mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024__eval-dhan_shomadhan__aug-default,transfer_baseline,mobilenetv2_100,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024.pth,results/predictions/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed2024.csv,2026-07-21T17:03:17.981071+00:00,2026-07-21T17:13:01.823778+00:00
efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024__eval-dhan_shomadhan__aug-default,transfer_baseline,efficientnet_b0,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024.pth,results/predictions/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed2024.csv,2026-07-21T17:13:01.853235+00:00,2026-07-21T17:25:26.122443+00:00
resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024__eval-dhan_shomadhan__aug-default,transfer_baseline,resnet50,brri_rice_disease_pest,dhan_shomadhan,rice_blast|scald|tungro,42,2024,default,complete,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed2024.pth,results/predictions/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__eval-dhan_shomadhan__seed2024.csv,2026-07-21T17:25:26.152886+00:00,2026-07-21T17:35:20.178062+00:00
mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024__eval-dhan_shomadhan__aug-strong,transfer_aug,mobilenetv2_100,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,2024,strong,complete,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024.pth,results/predictions/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,2026-07-21T17:35:20.267850+00:00,2026-07-21T17:41:14.454411+00:00
efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024__eval-dhan_shomadhan__aug-strong,transfer_aug,efficientnet_b0,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,2024,strong,complete,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024.pth,results/predictions/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,2026-07-21T17:41:14.486230+00:00,2026-07-21T17:47:01.550517+00:00
resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024__eval-dhan_shomadhan__aug-strong,transfer_aug,resnet50,riceleafbd,dhan_shomadhan,brown_spot|tungro,42,2024,strong,complete,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__seed2024.pth,results/predictions/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__aug-strong__eval-dhan_shomadhan__seed2024.csv,2026-07-21T17:47:01.581146+00:00,2026-07-21T17:54:29.603847+00:00
mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed2024__eval-riceleafbd__aug-strong,transfer_aug,mobilenetv2_100,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,2024,strong,complete,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed2024.pth,results/predictions/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__eval-riceleafbd__seed2024.csv,2026-07-21T17:54:29.639783+00:00,2026-07-21T17:59:10.916036+00:00
efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed2024__eval-riceleafbd__aug-strong,transfer_aug,efficientnet_b0,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,2024,strong,complete,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed2024.pth,results/predictions/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__eval-riceleafbd__seed2024.csv,2026-07-21T17:59:10.947426+00:00,2026-07-21T18:06:31.367759+00:00
resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed2024__eval-riceleafbd__aug-strong,transfer_aug,resnet50,dhan_shomadhan,riceleafbd,brown_spot|tungro,42,2024,strong,complete,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__seed2024.pth,results/predictions/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__aug-strong__eval-riceleafbd__seed2024.csv,2026-07-21T18:06:31.397483+00:00,2026-07-21T18:11:58.883897+00:00
